W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1)) [],re(Gamma(1)) [],re(Zo(1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,60.95,-11.84318089,-8.927018314,2049.750686,5.766763093,159.9574109,1.802738551,-62.8021004
0.5,61,-11.84882325,-8.871196898,2052.061218,5.769781173,159.9230809,-0.268919785,-63.97971632
0.5,61.05,-11.80149105,-8.805322064,2054.371062,5.772802256,159.8889192,-2.154402152,-65.37408025
0.5,61.1,-11.68432991,-8.740924645,2056.68022,5.775826328,159.854925,-4.04167916,-67.00549513
0.5,61.15,-11.50253356,-8.690802948,2058.988694,5.778853377,159.8210977,-6.162780355,-68.86585256
0.5,61.2,-11.28063914,-8.666943333,2061.296487,5.781883388,159.7874364,-8.668066343,-70.91700246
0.5,61.25,-11.04636961,-8.678591944,2063.603601,5.78491635,159.7539404,-11.57892006,-73.09603125
0.5,61.3,-10.81873345,-8.731044905,2065.910038,5.787952248,159.7206089,-14.83586381,-75.32565396
0.5,61.35,-10.60673993,-8.825407634,2068.215802,5.790991071,159.6874413,-18.36207088,-77.52610253
0.5,61.4,-10.41315961,-8.959183787,2070.520893,5.794032804,159.6544367,-22.09561922,-79.62497473
0.5,61.45,-10.23813486,-9.127310504,2072.825315,5.797077436,159.6215945,-25.99509319,-81.56310401
0.5,61.5,-10.08122178,-9.323240111,2075.129069,5.800124954,159.5889138,-30.03452108,-83.29640804
0.5,61.55,-9.94221291,-9.539806868,2077.432158,5.803175345,159.5563941,-34.19685268,-84.79488827
0.5,61.6,-9.821308055,-9.769787099,2079.734584,5.806228596,159.5240345,-38.46897816,-86.04025278
0.5,61.65,-9.719001719,-10.00618149,2082.03635,5.809284696,159.4918343,-42.83863384,-87.02333473
0.5,61.7,-9.635875858,-10.2423024,2084.337457,5.812343631,159.4597929,-47.29282688,-87.74199146
0.5,61.75,-9.572388152,-10.47175575,2086.637907,5.81540539,159.4279095,-51.81735758,-88.19975237
0.5,61.8,-9.528700249,-10.68839184,2088.937704,5.818469961,159.3961834,-56.39709658,-88.4052107
0.5,61.85,-9.504569005,-10.88627846,2091.236849,5.82153733,159.364614,-61.0167377,-88.37200528
0.5,61.9,-9.499310703,-11.0597301,2093.535344,5.824607486,159.3332005,-65.66178182,-88.1191635
0.5,61.95,-9.51183734,-11.20340962,2095.833192,5.827680417,159.3019422,-70.31953343,-87.67154178
0.5,62,-9.540754203,-11.31250168,2098.130394,5.830756112,159.2708385,-74.97992713,-87.06009213
0.5,62.05,-9.584500373,-11.38294024,2100.426953,5.833834557,159.2398887,-79.63605338,-86.32170852
0.5,62.1,-9.641509736,-11.41165633,2102.722871,5.836915742,159.2090921,-84.28431513,-85.49847643
0.5,62.15,-9.71037001,-11.39680183,2105.018151,5.839999655,159.178448,-88.92420943,-84.63626632
0.5,62.2,-9.789960536,-11.33790331,2107.312793,5.843086284,159.1479558,-93.55777898,-83.78276062
0.5,62.25,-9.879554668,-11.23591074,2109.606801,5.846175617,159.1176148,-98.18881227,-82.98514585
0.5,62.3,-9.978878234,-11.09312672,2111.900176,5.849267643,159.0874243,-102.821888,-82.28778992
0.5,62.35,-10.08812065,-10.91302668,2114.192921,5.852362351,159.0573837,-107.4613626,-81.73022907
0.5,62.4,-10.20789953,-10.70000136,2116.485037,5.855459729,159.0274923,-112.1103943,-81.34570807
0.5,62.45,-10.33918304,-10.45906387,2118.776527,5.858559766,158.9977495,-116.770091,-81.16038495
0.5,62.5,-10.48317755,-10.19556211,2121.067393,5.861662451,158.9681547,-121.4388535,-81.19317501
0.5,62.55,-10.64119048,-9.914927877,2123.357637,5.864767772,158.9387071,-126.1119752,-81.45610718
0.5,62.6,-10.81448131,-9.622479421,2125.64726,5.867875718,158.9094062,-130.7815382,-81.95501812
0.5,62.65,-11.00411508,-9.323281309,2127.936266,5.870986279,158.8802512,-135.436616,-82.69041076
0.5,62.7,-11.21083327,-9.022055713,2130.224655,5.874099443,158.8512418,-140.0637661,-83.65833753
0.5,62.75,-11.43495546,-8.723134012,2132.51243,5.8772152,158.8223771,-144.6477555,-84.8512155
0.5,62.8,-11.67632144,-8.430436202,2134.799593,5.880333538,158.7936565,-149.1724381,-86.25852649
0.5,62.85,-11.93427797,-8.147466746,2137.086147,5.883454447,158.7650795,-153.6216808,-87.86739112
0.5,62.9,-12.20770838,-7.877318008,2139.372092,5.886577916,158.7366453,-157.9802378,-89.66303059
0.5,62.95,-12.49509789,-7.6226754,2141.657431,5.889703935,158.7083534,-162.2344847,-91.62914318
0.5,63,-12.79462328,-7.385821188,2143.942166,5.892832493,158.6801634,-166.3729563,-93.74822671
0.55,57,-15.96601509,-5.842745017,1931.27515,5.285613284,143.4848574,-145.9280558,49.11780302
0.55,57.05,-15.87494126,-5.915652927,1933.56118,5.288686404,143.453997,-149.217726,47.52573003
0.55,57.1,-15.79408754,-5.984087426,1935.846533,5.29176244,143.4232937,-152.565064,45.95722114
