"S_width [mm]","T_sub [mm]","W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.1,0.254,0.5,39.55,-37.4168436706701,-0.475774279209307,1234.52731204583,3.77621636964835,56.9978899165928,103.680764786956,29.7513305423543
0.1,0.254,0.5,39.6,-37.5109975403067,-0.477609263337171,1236.15403745391,3.77977436429055,61.1891871012996,100.351295734739,28.5127168986944
0.1,0.254,0.5,39.65,-37.6753399725036,-0.480411723099654,1237.78147415233,3.78325501503021,71.4032577878166,96.7783777602972,27.2687805219138
0.1,0.254,0.5,39.7,-37.9195204603299,-0.484335302140123,1239.4097072727,3.78664074945159,64.1117451897531,92.8232972367339,26.0190130721269
0.1,0.254,0.5,39.75,-38.2653292759405,-0.489577477566565,1241.03884850056,3.78990847263562,60.8524303480737,88.2557625575811,24.7618206611344
0.1,0.254,0.5,39.8,-38.7521878767512,-0.496453345280559,1242.66904733339,3.79302728339961,60.2671920974309,82.6853786300337,23.4940554777015
0.1,0.254,0.5,39.85,-39.4464022694283,-0.505508516971735,1244.30050850128,3.79595500273134,60.0446044201475,75.382626119144,22.2101736309583
0.1,0.254,0.5,39.9,-40.4499304133322,-0.517722154431877,1245.93351977518,3.79863277002131,59.8825973239376,64.7785294910321,20.9006021694011
0.1,0.254,0.5,39.95,-41.8385428904841,-0.534924050971414,1247.56849795888,3.80097643001045,59.8281910393958,46.9331880053734,19.548289274192
0.1,0.254,0.5,40,-42.8813972585717,-0.560787655659614,1249.2060680783,3.80286251815637,59.8249691695374,12.3477329429865,18.120698881849
0.1,0.254,0.5,40.05,-39.725311822829,-0.562705474399825,1250.84733720313,3.80411663351849,59.8667354459539,-32.2657733117354,16.7077161221429
0.1,0.254,0.5,40.1,-32.843906255508,-0.670338916728192,1252.49352187418,3.8044214036724,59.8908358559349,-73.915070047295,14.7069676506921
0.1,0.254,0.5,40.15,-23.6895670076984,-0.905938018016965,1254.14771637089,3.80336662711969,59.9255339382549,-101.390870360953,11.8642890713678
0.1,0.254,0.5,40.2,-11.6507009454722,-1.98259974863024,1255.81480587663,3.80031916373831,59.9657453861928,-129.936828994953,6.10297263031674
