"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []","ang_deg(Y(1,1)) [deg]","ang_deg(Y(2,1)) [deg]"
0.65,57.85,-7.96006770156156,-1.97641748190511,1997.39408081453,4.70698415113639,14.0290605233258,75.6206680678009,-91.2608949526555
0.65,57.9,-7.97664077565423,-1.96632979222524,1999.30874255597,4.71103479684546,14.0306310023325,76.1580464610357,-91.4272602166064
0.65,57.95,-7.99696139771005,-1.95553169161373,2001.22334867426,4.71508701009752,14.0322079358079,76.6441137501124,-91.5961532653734
0.65,58,-8.02119296201633,-1.94404088732179,2003.13789961273,4.71914078979787,14.0337913154403,77.0836839695518,-91.7675396207195
0.65,58.05,-8.04948823482088,-1.93187597396135,2005.05239581304,4.72319613485236,14.0353811329655,77.480919402623,-91.9414392635121
0.65,58.1,-8.08199284796546,-1.9190564396603,2006.96683771518,4.72725304416734,14.0369773801664,77.8394224627299,-92.117928130118
0.65,58.15,-8.11884823409233,-1.90560267187691,2008.88122575748,4.73131151664959,14.0385800488732,78.1623115667473,-92.2971389961512
0.65,58.2,-8.16019409234215,-1.89153596281422,2010.79556037664,4.73537155120637,14.0401891309626,78.452283946209,-92.4792620984631
0.65,58.25,-8.2061704696986,-1.87687851437442,2012.70984200771,4.73943314674532,14.0418046183576,78.7116676940251,-92.6645457662746
0.65,58.3,-8.25691953578696,-1.86165344259267,2014.62407108409,4.74349630217447,14.0434265030273,78.9424648496532,-92.8532972752476
0.65,58.35,-8.31258712022478,-1.84588478149092,2016.53824803758,4.74756101640222,14.0450547769863,79.1463869424013,-93.0458841002823
0.65,58.4,-8.37332407287936,-1.82959748629434,2018.45237329833,4.7516272883373,14.0466894322948,79.3248841107808,-93.2427357206225
0.65,58.45,-8.43928749934457,-1.81281743595735,2020.36644729492,4.75569511688873,14.0483304610579,79.4791686738429,-93.4443461218641
0.65,58.5,-8.51064191697056,-1.7955714349521,2022.28047045428,4.75976450096583,14.0499778554253,79.6102338321783,-93.6512771418762
0.65,58.55,-8.58756037100158,-1.77788721428197,2024.19444320177,4.76383543947816,14.0516316075913,79.7188680096194,-93.8641628204074
0.65,58.6,-8.67022554581067,-1.75979343169449,2026.10836596114,4.7679079313355,14.0532917097943,79.8056652021332,-94.0837149349658
0.65,58.65,-8.75883090281519,-1.74131967108494,2028.02223915457,4.77198197544785,14.0549581543163,79.8710315701496,-94.3107299388926
0.65,58.7,-8.85358187433851,-1.72249644110337,2029.93606320266,4.77605757072538,14.056630933483,79.9151883877973,-94.5460975626533
0.65,58.75,-8.95469714137893,-1.70335517300523,2031.84983852442,4.78013471607842,14.0583100396631,79.938171340849,-94.790811398438
0.65,58.8,-9.06241002289771,-1.6839282178207,2033.76356553732,4.7842134104174,14.0599954652683,79.939826038095,-95.0459818644471
0.65,58.85,-9.17697000480916,-1.66424884296132,2035.67724465727,4.78829365265288,14.0616872027527,79.9197994612344,-95.3128520434015
0.65,58.9,-9.29864443834245,-1.64435122843678,2037.5908762986,4.7923754416955,14.0633852446129,79.8775269177916,-95.5928170163313
0.65,58.95,-9.42772043987175,-1.62427046292128,2039.50446087414,4.79645877645592,14.0650895833873,79.8122138696043,-95.8874474764708
0.65,59,-9.56450702774233,-1.60404253999142,2041.41799879514,4.80054365584488,14.0668002116559,79.7228117726216,-96.1985186214227
0.65,59.05,-9.7093375361588,-1.58370435495727,2043.33149047136,4.80463007877306,14.0685171220404,79.6079867641749,-96.528045601641
