freq,"dB(S(1,1))","dB(S(2,1))","dB(S(3,3))","dB(S(4,3))","dB(S(5,5))","dB(S(6,5))"
3.61000000000000032E10,-13.2292676114601,-0.939476084790636,-4.66480709237038,-3.95494778791326,-4.3575639458503,-2.86812952510401
3.62000000000000011E10,-13.4941484602414,-0.927884704990954,-4.64130196680572,-3.94065309696468,-4.25367494165256,-2.830121769915
3.62999999999999989E10,-13.7646923060332,-0.918238863573259,-4.6800976988459,-3.92945359021914,-4.18943353614097,-2.84968238382273
3.63999999999999968E10,-14.0404910595119,-0.911189942691538,-4.73298937661193,-3.91948542667674,-4.14356191420811,-2.90134615051221
3.64999999999999991E10,-14.3208844993281,-0.907938066795045,-4.70977887366148,-3.87546322157377,-4.15515504923604,-2.96462807755665
3.66000000000000014E10,-14.605169152471,-0.910712862676887,-4.73799813406937,-3.86352004806109,-4.15964616536496,-3.07589941454376
3.67000000000000037E10,-14.8938989041999,-0.923750759618333,-4.82563817345843,-3.84345636901443,-4.20773110253182,-3.15609346805622
3.67999999999999972E10,-15.1947621239843,-0.955120302464333,-4.91109673085905,-3.82878451015576,-4.26407741921741,-3.27024392487494
3.68999999999999995E10,-15.547935421397,-1.01860533559543,-4.86295649576845,-3.83175356038584,-4.31279801035723,-3.40388086078463
3.70000000000000018E10,-16.1245247353799,-1.12476800077192,-4.90863685677047,-3.833960589036,-4.3851233725479,-3.52033316995932
3.70999999999999996E10,-17.365389751301,-1.22235728973641,-4.98903125940295,-3.82633772918875,-4.45775417922829,-3.66312959570411
3.72000000000000020E10,-19.0200605926961,-1.17357854427172,-5.03668347458247,-3.79710067686205,-4.52226269242651,-3.77107606515946
3.72999999999999954E10,-19.9309327673827,-1.00896103609135,-5.03774572119848,-3.79813561050247,-4.58656636585163,-3.88313390084985
3.73999999999999977E10,-20.4061576020823,-0.87196452572375,-5.09839882773621,-3.81369064672749,-4.67979487458449,-3.96175779087894
3.75000000000000000E10,-20.5247208017475,-0.798255670123361,-5.09769070027759,-3.79907029462648,-4.71543419052694,-4.02848157590712
3.76000000000000023E10,-20.8179310160693,-0.764860493409727,-5.10736454146122,-3.81969915872284,-4.73698256533317,-4.11454685217592
