W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1:1)) [],re(Gamma(1:1)) [],re(Zo(1:1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,61.6,-12.00047667,-6.853114014,2077.131424,5.780714528,128.5405346,-16.97284421,95.42134377
0.5,61.65,-11.88080608,-6.930011837,2079.433669,5.783774936,128.5110604,-19.71977579,93.58399737
0.5,61.7,-11.75847493,-7.013244247,2081.73526,5.786838269,128.4817126,-22.52452493,91.77280752
0.5,61.75,-11.63406142,-7.103047549,2084.036198,5.789904516,128.4524908,-25.39052556,89.99075021
0.5,61.8,-11.50820828,-7.199684812,2086.336487,5.792973663,128.4233944,-28.32124259,88.24164437
0.5,61.85,-11.38162686,-7.303426383,2088.636127,5.796045698,128.3944227,-31.32014646,86.53030016
0.5,61.9,-11.25509995,-7.414523293,2090.935121,5.79912061,128.3655752,-34.39067764,84.86267322
0.5,61.95,-11.12948305,-7.533171505,2093.233471,5.802198386,128.3368514,-37.53619922,83.24601591
0.5,62,-11.00570325,-7.659464848,2095.531181,5.805279014,128.3082507,-40.75993672,81.68901041
0.5,62.05,-10.8847553,-7.793334545,2097.82825,5.808362483,128.2797725,-44.06490345,80.20186044
0.5,62.1,-10.76769388,-7.934473826,2100.124683,5.81144878,128.2514163,-47.45381083,78.79630719
0.5,62.15,-10.65562149,-8.082247454,2102.42048,5.814537893,128.2231816,-50.92896271,77.48552289
0.5,62.2,-10.54967124,-8.235588527,2104.715645,5.817629812,128.1950677,-54.49213396,76.28382252
0.5,62.25,-10.45098387,-8.392888988,2107.010179,5.820724523,128.1670742,-58.14443391,75.206125
0.5,62.3,-10.36067903,-8.551896132,2109.304084,5.823822017,128.1392006,-61.88615619,74.26709585
0.5,62.35,-10.27982079,-8.709634782,2111.597362,5.82692228,128.1114462,-65.71661792,73.47992294
0.5,62.4,-10.20937862,-8.862382375,2113.890017,5.830025303,128.0838106,-69.63399195,72.85472721
0.5,62.45,-10.15018534,-9.005729266,2116.182048,5.833131072,128.0562932,-73.63513787,72.39669855
0.5,62.5,-10.10289501,-9.13475473,2118.473459,5.836239578,128.0288936,-77.71543897,72.10417183
0.5,62.55,-10.06794415,-9.244335568,2120.764253,5.839350809,128.0016111,-81.86865463,71.966994
0.5,62.6,-10.04552087,-9.329576239,2123.054429,5.842464753,127.9744453,-86.08680037,71.96562764
0.5,62.65,-10.03554626,-9.386310506,2125.343992,5.8455814,127.9473957,-90.3600706,72.07141763
0.5,62.7,-10.03767241,-9.411587019,2127.632942,5.848700738,127.9204617,-94.67682197,72.24826234
0.5,62.75,-10.05129968,-9.404033378,2129.921283,5.851822757,127.8936428,-99.02363712,72.45559029
0.5,62.8,-10.07561399,-9.364009999,2132.209015,5.854947446,127.8669386,-103.3854877,72.65215804
0.5,62.85,-10.10964169,-9.29351618,2134.496141,5.858074793,127.8403485,-107.7460108,72.79991966
0.5,62.9,-10.15231703,-9.195877139,2136.782663,5.861204788,127.813872,-112.0879033,72.86720348
0.5,62.95,-10.20255426,-9.075294274,2139.068583,5.864337421,127.7875087,-116.3934229,72.83067244
0.5,63,-10.25931564,-8.936361385,2141.353903,5.86747268,127.761258,-120.6449684,72.67591906
0.55,57,-13.93022636,-4.935389446,1932.021015,5.306827705,115.8258927,-150.1043979,-128.2370959
0.55,57.05,-13.92329757,-4.922674025,1934.307464,5.30993118,115.7981013,-153.1566051,-130.079863
0.55,57.1,-13.92601781,-4.9083818,1936.593242,5.313037595,115.7704355,-156.2627098,-131.9152356
0.55,57.15,-13.93929758,-4.892192282,1938.878351,5.316146937,115.7428949,-159.4155358,-133.7492817
0.55,57.2,-13.96398683,-4.873964636,1941.162794,5.319259193,115.7154787,-162.6063059,-135.5887746
0.55,57.25,-14.00082857,-4.853774644,1943.446573,5.322374349,115.6881863,-165.8245171,-137.4409997
0.55,57.3,-14.05040147,-4.831948909,1945.729691,5.325492393,115.6610173,-169.0578567,-139.3134775
0.55,57.35,-14.1130502,-4.809091818,1948.012149,5.328613311,115.6339709,-172.2921809,-141.2135937
0.55,57.4,-14.1888034,-4.786099605,1950.293951,5.331737092,115.6070466,-175.5115921,-143.1481416
0.55,57.45,-14.27727995,-4.764155248,1952.575099,5.334863723,115.5802439,-178.6986535,-145.1227937
