"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57.95,-16.9997302262483,-6.04994933537778,1924.25109617604,5.56238904939411,292.884558599843,-14.3852947218046,-140.705123837767
0.5,58,-16.8038196342767,-6.01355335932999,1926.61827193512,5.56518940607491,292.819599931599,-18.4054028913969,-141.981958875074
0.5,58.05,-16.6239695074528,-5.97736213059039,1928.98459478777,5.56799369795,292.755037917203,-22.4958235291637,-143.29093254703
0.5,58.1,-16.4581576727119,-5.94171435062504,1931.35006789478,5.57080190535882,292.690870584755,-26.6409448189922,-144.632286250169
0.5,58.15,-16.3042270396249,-5.90697898266142,1933.71469440036,5.57361400877636,292.627095975989,-30.8292087136215,-146.006041853788
0.5,58.2,-16.1600195477969,-5.87355310343938,1936.07847743224,5.57642998881207,292.563712146159,-35.0527421461972,-147.411969257349
0.5,58.25,-16.0234821743551,-5.84185895602502,1938.44142010174,5.57924982620856,292.500717163916,-39.3068679958546,-148.849549667792
0.5,58.3,-15.8927454170245,-5.81233995859595,1940.80352550395,5.58207350184055,292.438109111196,-43.5895544091555,-150.317935926022
0.5,58.35,-15.7661768330093,-5.78545544150732,1943.1647967178,5.58490099671365,292.3758860831,-47.9008494534758,-151.815911414127
0.5,58.4,-15.6424133751981,-5.76167391089261,1945.52523680619,5.58773229196326,292.314046187781,-52.2423346720842,-153.341849388519
0.5,58.45,-15.5203765848447,-5.74146467744783,1947.88484881607,5.5905673688534,292.252587546333,-56.6166185652468,-154.893674967463
0.5,58.5,-15.3992744266963,-5.72528774890472,1950.2436357786,5.59340620877563,292.191508292678,-61.0268808645836,-156.468832410777
0.5,58.55,-15.2785929450954,-5.71358196770394,1952.60160070921,5.59624879324795,292.130806573453,-65.476471260362,-158.064260714322
0.5,58.6,-15.158080189502,-5.70675148321492,1954.95874660773,5.59909510391367,292.070480547904,-69.9685618830041,-159.676380843362
0.5,58.65,-15.0377241564675,-5.70515077937669,1957.31507645851,5.60194512254037,292.010528387775,-74.5058508675207,-161.301098080433
0.5,58.7,-14.9177259174712,-5.70906862912221,1959.67059323048,5.6047988310188,291.950948277201,-79.0903141364877,-162.933822896946
0.5,58.75,-14.798468699148,-5.71871150758238,1962.02529987731,5.60765621136184,291.891738412601,-83.7230035022586,-164.569513410982
0.5,58.8,-14.6804834729062,-5.73418715395835,1964.37919933749,5.61051724570345,291.832897002577,-88.4038907343929,-166.20274182137
0.5,58.85,-14.5644115894092,-5.75548911090312,1966.73229453441,5.61338191629763,291.774422267806,-93.1317588475558,-167.82778619326
0.5,58.9,-14.4509651349178,-5.7824831723245,1969.08458837649,5.61625020551738,291.716312440935,-97.9041430901901,-169.438747634472
0.5,58.95,-14.3408859482224,-5.81489671833129,1971.43608375728,5.61912209585372,291.658565766486,-102.71732458803,-171.029691310589
0.5,59,-14.2349045596896,-5.85231189548486,1973.78678355556,5.62199756991464,291.60118050075,-107.566379061302,-172.594808008803
0.5,59.05,-14.1337006261613,-5.89416350334842,1976.13669063542,5.62487661042415,291.544154911686,-112.445281382026,-174.128591218713
0.5,59.1,-14.0378666606929,-5.93974227408067,1978.48580784637,5.62775920022126,291.487487278827,-117.347064048562,-175.626023113283
0.5,59.15,-13.9478769252206,-5.98820398851105,1980.83413802347,5.630645322259,291.43117589318,-122.264024216144,-177.082761542802
0.5,59.2,-13.8640632193893,-6.03858457555393,1983.18168398736,5.63353495960348,291.375219057127,-127.187970208843,-178.495319332742
0.5,59.25,-13.786598946264,-6.08982101358891,1985.52844854442,5.63642809543408,291.319615084332,-132.110495041558,-179.861226896074
0.5,59.3,-13.7154922929036,-6.14077751729191,1987.87443448681,5.63932471304299,291.264362299645,-137.023261996593,178.820830525006
